mp_id,post_id,unit_id,parent_id,unit_type,unit_code,post_title
15257,3,10,,mpg,CHN,Член групи з міжпарламентських зв'язків з Китайською Народною Республікою
15257,3,4,,mpg,ISR,Член групи з міжпарламентських зв'язків з Державою Ізраїль
15257,3,14,,mpg,USA,Член групи з міжпарламентських зв'язків з Сполученими Штатами Америки
15257,3,67,,mpg,AUT,Член групи з міжпарламентських зв'язків з Австрійською Республікою
15257,3,21,,mpg,JPN,Член групи з міжпарламентських зв'язків з Японією
15257,3,45,,mpg,CAN,Член групи з міжпарламентських зв'язків з Канадою
8737,15,102,,fra,ob,"Заступник голови депутатської фракції Політичної партії ""Опозиційний блок"" у Верховній Раді України восьмого скликання"
8737,6,61,,cmt,comeuroint,Член Комітету Верховної Ради України з питань європейської інтеграції
8737,3,7,,mpg,BLR,Член групи з міжпарламентських зв'язків з Республікою Білорусь
8737,3,21,,mpg,JPN,Член групи з міжпарламентських зв'язків з Японією
8737,3,82,,mpg,CHE,Член групи з міжпарламентських зв'язків з Швейцарською Конфедерацією
8737,3,10,,mpg,CHN,Член групи з міжпарламентських зв'язків з Китайською Народною Республікою
8737,3,14,,mpg,USA,Член групи з міжпарламентських зв'язків з Сполученими Штатами Америки
8737,4,157,,mpg,SRB,Керівник групи з міжпарламентських зв'язків з Сербією
8737,3,15,,mpg,GBR,Член групи з міжпарламентських зв'язків з Сполученим Королівством Великої Британії та Північної Ірландії
18069,8,100,,cmt,komnbo,Секретар Комітету Верховної Ради України з питань національної безпеки і оборони
18069,2,3,,fra,bp,"Член депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА"""
18069,11,134,,tcs,tinvest41,Голова тимчасової слідчої комісії Верховної Ради України для проведення розслідування відомостей щодо фактів розкрадання в Збройних Силах України та підриву обороноздатності держави у період з 2004 по 2017 роки
18069,3,37,,mpg,NLD,Член групи з міжпарламентських зв'язків з Королівством Нідерландів
18069,3,44,,mpg,TUR,Член групи з міжпарламентських зв'язків з Турецькою Республікою
